Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
Yi Dasheng,1.5,China,conglomerate,2035,60.0,"Changsha, China",China,,,,True,POINT (112.9335861 28.2302056)
Yu Rong,1.5,China,health clinics,2035,49.0,"Shanghai, China",China,,,,True,POINT (121.4692071 31.2322758)
Yuan Zhimin & family,1.5,China,plastics,2035,60.0,"Guangzhou, China",China,Married,2.0,"Master of Science, Bejing Insitute of Technology",True,POINT (113.2592945 23.1301964)
Zeng Chaolin,1.5,China,Aluminium,2035,38.0,"Yongzhou, China",China,,,,False,POINT (111.6081495 26.423568)
Zhong Sheng Jian,1.5,Singapore,real estate,2035,63.0,"Singapore, Singapore",Singapore,Married,5.0,,True,POINT (103.8194992 1.357107)
Zhou Jian,1.5,China,robotics,2035,44.0,"Shenzhen, China",China,,,,True,POINT (114.0543297 22.555454)
Zhu Yiming,1.5,China,semiconductors,2035,48.0,"Beijing, China",China,,,,True,POINT (116.3912757 39.906217)
Zhuang Kuilong & family,1.5,China,polyester,2035,58.0,"Jiaxing, China",China,Married,,,True,POINT (120.7510971 30.7474425)
Anu Aga,1.4,India,engineering,2141,78.0,"Pune, India",India,Widowed,1.0,"Bachelor of Arts/Science, Bombay University",False,POINT (73.8544541 18.521428)
Farkhad Akhmedov,1.4,Russia,investments,2141,65.0,"Moscow, Russia",Russia,Divorced,3.0,,True,POINT (37.6174943 55.7504461)
Alberto Alcocer,1.4,Spain,investments,2141,78.0,"Madrid, Spain",Spain,Married,5.0,"Doctor of Jurisprudence, Universidad Complutense de Madrid",True,POINT (-3.7035825 40.4167047)
Alexandra Andresen,1.4,Norway,investments,2141,24.0,"Oslo, Norway",Norway,Single,,,False,POINT (10.7389701 59.9133301)
Katharina Andresen,1.4,Norway,investments,2141,25.0,"Oslo, Norway",Norway,Single,,,False,POINT (10.7389701 59.9133301)
Mori Arkin,1.4,Israel,pharmaceuticals,2141,68.0,"Herzliya Pituach, Israel",Israel,Married,3.0,"Bachelor of Arts/Science, Tel Aviv University",True,POINT (34.8081804 32.1739444)
Clifford Asness,1.4,United States,money management,2141,54.0,"Greenwich, Connecticut",United States,Married,4.0,"Doctorate, University of Chicago; Master of Business Administration, University of Chicago; Bachelor of Arts/Science, University of Pennsylvania; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True,POINT (-73.6284598 41.0264862)
Nigel Austin,1.4,Australia,retail,2141,50.0,"Melbourne, Australia",Australia,Married,6.0,,True,POINT (144.960964 -37.8077694)
Ziv Aviram,1.4,Israel,automotive technology,2141,62.0,"Mevaseret Zion, Israel",Israel,,,,True,POINT (35.152731 31.8057198)
Louis Bacon,1.4,United States,hedge funds,2141,64.0,"Oyster Bay, New York",United States,Married,7.0,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Middlebury College",True,POINT (-73.4934796 40.7501803)
Samuel Barata,1.4,Brazil,drugstores,2141,83.0,"Rio de Janeiro, Brazil",Brazil,Married,,,True,POINT (-43.2093727 -22.9110137)
Angela Bennett,1.4,Australia,mining,2141,77.0,"Perth, Australia",Australia,Married,7.0,,False,POINT (115.8854007 -31.9938566)
Maurizio Billi,1.4,Brazil,generic drugs,2141,63.0,"Sao Paulo, Brazil",Brazil,Married,,,False,POINT (-46.6333824 -23.5506507)
Zadik Bino & family,1.4,Israel,"banking, oil",2141,77.0,"Tel Aviv, Israel",Israel,Married,3.0,"Diploma, High School",True,POINT (34.7818064 32.0852997)
Anna Maria Braun,1.4,Germany,medical technology,2141,42.0,"Melsungen, Germany",Germany,Married,2.0,,False,POINT (9.5437136 51.1298048)
Johanna Braun,1.4,Germany,medical technology,2141,41.0,"Melsungen, Germany",Germany,,,,False,POINT (9.5437136 51.1298048)
Karl Friedrich Braun,1.4,Germany,medical technology,2141,38.0,"Melsungen, Germany",Germany,,,,False,POINT (9.5437136 51.1298048)
Cai Hao & family,1.4,China,solar energy,2141,50.0,"Kunshan, China",China,Married,,,True,POINT (120.9764683 31.3869323)
Binod Chaudhary,1.4,Nepal,diversified,2141,66.0,"Kathmandu, Nepal",Nepal,Married,3.0,,False,POINT (85.32058170000001 27.708317)
Chen Liying,1.4,China,package delivery,2141,45.0,"Shanghai, China",China,Married,,,True,POINT (121.4692071 31.2322758)
Chen Qixing,1.4,China,electronics components,2141,61.0,"Shenzhen, China",China,,,,True,POINT (114.0543297 22.555454)
Chen Zhuolin,1.4,China,real estate,2141,59.0,"Zhongshan, China",China,Married,2.0,,True,POINT (113.3656141 22.5213807)
Fernando Chico Pardo,1.4,Mexico,airport management,2141,69.0,"Mexico City, Mexico",Mexico,Married,3.0,"Master of Business Administration, Kellogg School of Management; Bachelor of Business Administration, Universidad Iberoamericana",True,POINT (-99.1331785 19.4326296)
Jean-Paul Clozel,1.4,Switzerland,pharmaceuticals,2141,66.0,"Basel, Switzerland",Switzerland,Married,,,True,POINT (7.5878261 47.5581077)
Jim Crane,1.4,United States,"logistics, baseball",2141,67.0,"Houston, Texas",United States,Married,3.0,"Bachelor of Arts/Science, Central Missouri State University",True,POINT (-95.3676974 29.7589382)
Ana Lucia de Mattos Barretto Villela,1.4,Brazil,banking,2141,47.0,"Sao Paulo, Brazil",Brazil,Married,,,False,POINT (-46.6333824 -23.5506507)
Darwin Deason,1.4,United States,software,2141,80.0,"Dallas, Texas",United States,Divorced,3.0,"Diploma, High School",True,POINT (-96.7968559 32.7762719)
Sefik Yilmaz Dizdar,1.4,Turkey,fashion retail,2141,83.0,"Istanbul, Turkey",Turkey,Married,,,True,POINT (28.9651646 41.0096334)
James Duff,1.4,United States,"tires, diversified",2141,60.0,"Hattiesburg, Mississippi",United States,Married,2.0,,True,POINT (-89.29033920000001 31.3271189)
Thomas Duff,1.4,United States,"tires, diversified",2141,64.0,"Hattiesburg, Mississippi",United States,Divorced,2.0,"Bachelor of Arts/Science, University of Southern Mississippi",True,POINT (-89.29033920000001 31.3271189)
Keith Dunleavy & family,1.4,United States,health IT,2141,51.0,"Annapolis, Maryland",United States,Married,4.0,"Bachelor of Arts/Science, Dartmouth College; Medical Doctor, Harvard University",True,POINT (-76.492786 38.9786401)
Fang Zhancheng,1.4,China,soy sauce,2141,,"Foshan, China",China,,,,True,POINT (113.1146335 23.0247687)
Lloyd Frink,1.4,United States,Zillow,2141,56.0,"Seattle, Washington",United States,Married,2.0,"Bachelor of Arts/Science, Stanford University",True,POINT (-122.3300624 47.6038321)
Gao Yunfeng,1.4,China,industrial lasers,2141,54.0,"Shenzhen, China",China,,,"Master of Business Administration, Peking University",True,POINT (114.0543297 22.555454)
Jayme Garfinkel,1.4,Brazil,insurance,2141,75.0,"Sao Paulo, Brazil",Brazil,Divorced,2.0,"Master of Business Administration, Fundacao Getulio Vargas; Bachelor of Arts/Science, Universidade de Sao Paulo",False,POINT (-46.6333824 -23.5506507)
Balkrishan Goenka,1.4,India,textiles,2141,54.0,"Mumbai, India",India,Married,2.0,,True,POINT (72.8773928 19.0759899)
Jitse Groen,1.4,Netherlands,food delivery service,2141,42.0,Netherlands,Netherlands,,,"Bachelor of Business Administration, University of Twente",True,POINT (5.7480821 52.5001698)
Mimi Haas,1.4,United States,Levi's jeans,2141,74.0,"San Francisco, California",United States,Widowed,,"Bachelor of Arts/Science, George Washington University",False,POINT (-122.419906 37.7790262)
Richard Hayne,1.4,United States,Urban Outfitters,2141,73.0,"Philadelphia, Pennsylvania",United States,Married,,"Bachelor of Arts/Science, Lehigh University",True,POINT (-75.16352620000001 39.9527237)
He Ningning,1.4,China,electronic components,2141,50.0,"Shenzhen, China",China,,,,True,POINT (114.0543297 22.555454)
He Yamin & family,1.4,China,manufacturing,2141,64.0,"Chengdu, China",China,,,,True,POINT (104.0633717 30.6598628)
Timothy Headington,1.4,United States,"oil & gas, investments",2141,71.0,"Dallas, Texas",United States,Single,,"Bachelor of Arts/Science, University of Oklahoma",False,POINT (-96.7968559 32.7762719)
Christian Herz,1.4,Germany,coffee,2141,,,Germany,,,,False,POINT (10.4234469 51.0834196)
Michaela Herz,1.4,Germany,coffee,2141,,,Germany,,,,False,POINT (10.4234469 51.0834196)
Daniel Hirschfeld,1.4,United States,fashion retail,2141,79.0,"Kearney, Nebraska",United States,Married,3.0,,False,POINT (-98.9472344 40.4906216)
Francis Holder,1.4,France,bakeries,2141,80.0,"Lille, France",France,Married,3.0,,True,POINT (3.0635282 50.6365654)
Hu Chengzhong,1.4,China,manufacturing,2141,60.0,"Wenzhou, China",China,,,,True,POINT (120.695345 27.9963899)
Hu Gengxi & family,1.4,China,Bio-Pharma,2141,57.0,"Shanghai, China",China,Married,,,True,POINT (121.4692071 31.2322758)
Huang Hongyun & family,1.4,China,real estate,2141,54.0,"Chongqing, China",China,Married,2.0,"EMBA, Chongqing Universtiy",True,POINT (106.5478767 29.5647398)
Huang Jian,1.4,China,home appliance,2141,54.0,"Shunde, China",China,,,,True,POINT (113.2883085 22.8073913)
Huang Weibin,1.4,China,home appliances,2141,53.0,"Haining, China",China,,,,True,POINT (120.6759733 30.5142256)
Huang Xiaofen & family,1.4,China,printed circuit boards,2141,59.0,"Shenzhen, China",China,Married,,,True,POINT (114.0543297 22.555454)
Archie Hwang,1.4,Taiwan,semiconductors,2141,68.0,"Taipei, Taiwan",Taiwan,Married,,"Bachelor of Arts/Science, National Chiao Tung University",True,POINT (121.5636796 25.0375198)
Jay-Z,1.4,United States,Multiple,2141,51.0,"New York, New York",United States,Married,3.0,,True,POINT (-74.00601519999999 40.7127281)
Johan Johannson,1.4,Norway,grocery stores,2141,54.0,"Oslo, Norway",Norway,Married,3.0,,False,POINT (10.7389701 59.9133301)
Scott Kapnick,1.4,United States,private equity,2141,62.0,"Naples, Florida",United States,,,"Doctor of Jurisprudence, The University of Chicago; Master of Business Administration, The University of Chicago; Bachelor of Arts/Economics, Williams College",True,POINT (-81.7954666 26.1452817)
Sidney Kimmel,1.4,United States,retail,2141,93.0,"New York, New York",United States,Married,,"Drop Out, Temple University",True,POINT (-74.00601519999999 40.7127281)
Christine Knauf,1.4,Germany,building materials,2141,,,Germany,,,,False,POINT (10.4234469 51.0834196)
Karl Knauf,1.4,Germany,building materials,2141,,,Germany,,,,False,POINT (10.4234469 51.0834196)
Andrei Kosogov,1.4,Russia,Banking,2141,60.0,"Moscow, Russia",Russia,Married,3.0,"Bachelor of Science in Engineering, Moscow Power Engineering Institute",True,POINT (37.6174943 55.7504461)
Guilherme Peirao Leal,1.4,Brazil,cosmetics,2141,71.0,"Sao Paulo, Brazil",Brazil,Divorced,5.0,"Bachelor of Arts/Science, Universidade de Sao Paulo",True,POINT (-46.6333824 -23.5506507)
Theodore Leonsis,1.4,United States,sports teams,2141,65.0,"Bethesda, Maryland",United States,Married,2.0,,True,POINT (-77.0941675 38.9843774)
Li Denghai,1.4,China,seed production,2141,71.0,"Laizhou, China",China,Married,,,True,POINT (119.9325123 37.1823043)
Liang Qin & family,1.4,China,semiconductor devices,2141,49.0,"Yangzhou, China",China,Married,,,True,POINT (119.4077008 32.3969935)
Liang Yaoming,1.4,China,diagnostics,2141,57.0,"Guangzhou, China",China,,,,True,POINT (113.2592945 23.1301964)
Liu Hua,1.4,China,infant formula,2141,48.0,"Qiqihaer, China",China,,,,True,POINT (123.9164653 47.3523672)
Liu Xuejing & family,1.4,China,"copper, poultry",2141,70.0,"Liaocheng, China",China,Married,,,True,POINT (115.9642007 36.4441808)
Anatoly Lomakin,1.4,Russia,investments,2141,68.0,"Moscow, Russia",Russia,Married,2.0,"Bachelor of Arts/Science, Moscow Institute of International Relations",True,POINT (37.6174943 55.7504461)
Lu Rongfu,1.4,China,telecommunication,2141,50.0,"Xiamen, China",China,,,,True,POINT (118.0853479 24.4801069)
Antonio Marcegaglia,1.4,Italy,steel,2141,57.0,"Mantua, Italy",Italy,,,"Bachelor of Business Administration, Bocconi University",False,POINT (10.6708365 45.1692628)
Emma Marcegaglia,1.4,Italy,steel,2141,55.0,"Mantua, Italy",Italy,,,"Bachelor of Business Administration, Bocconi University; Master of Business Administration, New York University",False,POINT (10.6708365 45.1692628)
Ilson Mateus,1.4,Brazil,supermarkets,2141,58.0,"Sao Luis, Brazil",Brazil,Married,3.0,,True,POINT (-44.2448718 -2.5634605)
Terence (Terry) Matthews,1.4,Canada,telecom,2141,78.0,"Ottawa, Canada",Canada,Married,4.0,"Doctorate, Carleton College; Bachelor of Arts/Science, University of Wales",True,POINT (-75.690308 45.421106)
Trevor Milton,1.4,United States,★,2141,39.0,"Phoenix, Arizona",United States,Married,,"Drop Out, Utah Valley University",True,POINT (-112.0741417 33.4484367)
Nirmal Minda,1.4,India,auto parts,2141,63.0,"Gurgaon, India",India,Married,2.0,,False,POINT (77.0027001 28.4282624)
Robert Mouawad,1.4,Lebanon,fine jewelry,2141,76.0,"Manama, Bahrain",Lebanon,Married,3.0,,False,POINT (50.5822436 26.2235041)
Judith Neilson,1.4,Australia,investments,2141,75.0,"Sydney, Australia",Australia,Divorced,2.0,,False,POINT (151.0979607 -33.8641922)
Kerr Neilson,1.4,Australia,Investments,2141,71.0,"Sydney, Australia",Australia,Divorced,2.0,"Bachelor of Arts/Science, University of Cape Town",True,POINT (151.0979607 -33.8641922)
Vadim Novinsky,1.4,Ukraine,steel,2141,57.0,"Kiev, Ukraine",Ukraine,Married,3.0,"Bachelor of Arts/Science, Academy of Civil Aviation (Leningrad)",True,POINT (30.5241361 50.4500336)
John Ocampo,1.4,United States,semiconductors,2141,62.0,"Los Altos, California",United States,Married,3.0,"Bachelor of Engineering, Santa Clara University",True,POINT (-122.116578 37.3790629)
Jonathan Oringer,1.4,United States,stock photos,2141,47.0,"Miami Beach, Florida",United States,Single,,"Master of Science, Columbia University; Bachelor of Arts/Science, SUNY Stony Brook",True,POINT (-80.13530059999999 25.7929198)
Andreas Pohl,1.4,Germany,mutual funds,2141,56.0,"Marburg, Germany",Germany,Married,3.0,,False,POINT (8.775774200000001 50.8117327)
"Reinfried Pohl, Jr.",1.4,Germany,mutual funds,2141,61.0,"Marburg, Germany",Germany,Married,5.0,,False,POINT (8.775774200000001 50.8117327)
Qi Jinxing,1.4,China,real estate,2141,59.0,"Hangzhou, China",China,Married,1.0,,True,POINT (120.2052342 30.2489634)
Qian Jinghong,1.4,China,electric scooters,2141,48.0,"Wuxi, China",China,Married,,,True,POINT (120.3074357 31.4933074)
Vito Rodriguez Rodriguez,1.4,Peru,processed milk,2141,82.0,"Lima, Peru",Peru,Married,3.0,,True,POINT (-77.0365256 -12.0621065)
Oliver Samwer,1.4,Germany,tech investments,2141,47.0,"Munich, Germany",Germany,Married,3.0,"Bachelor of Arts/Science, WHU - Otto Beisheim School of Management",True,POINT (11.5753822 48.1371079)
Martin Selig,1.4,United States,real estate,2141,83.0,"Seattle, Washington",United States,Married,3.0,"Bachelor of Arts/Science, University of Washington",True,POINT (-122.3300624 47.6038321)
Airat Shaimiev,1.4,Russia,"refinery, chemicals",2141,59.0,"Kazan, Russia",Russia,,,"Bachelor of Arts/Science, Moscow Power Engineering Institute, Kazan",True,POINT (49.1242266 55.7823547)
Amnon Shashua,1.4,Israel,automotive technology,2141,60.0,"Kfar Shmaryahu, Israel",Israel,,,,True,POINT (34.8197755 32.1853666)
Nobutoshi Shimamura,1.4,Japan,retail,2141,95.0,"Saitama, Japan",Japan,Married,3.0,,True,POINT (139.4160114 35.9754168)
Michael Spencer,1.4,United Kingdom,stock exchange,2141,65.0,"London, Suffolk, United Kingdom",United Kingdom,Married,3.0,"Bachelor of Arts/Science, Oxford University",True,POINT (0.9960257 52.1627718)
Edward Stack,1.4,United States,Dick's Sporting Goods,2141,66.0,"Sewickley, Pennsylvania",United States,Married,,"Bachelor of Arts/Science, St. John Fisher College",True,POINT (-80.1845031 40.5364566)
Thomas Steyer,1.4,United States,hedge funds,2141,63.0,"San Francisco, California",United States,Separated,4.0,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",True,POINT (-122.419906 37.7790262)
Tan Ruiqing,1.4,China,chemicals,2141,54.0,"Zhengzhou, China",China,Married,,,True,POINT (113.6191483 34.7487244)
Itaru Tanimura,1.4,Japan,heathcare,2141,56.0,"Tokyo, Japan",Japan,,,,True,POINT (139.7594549 35.6828387)
Sukanto Tanoto,1.4,Indonesia,diversified,2141,71.0,"Singapore, Singapore",Indonesia,Married,4.0,,True,POINT (103.8194992 1.357107)
Alexander Tedja,1.4,Indonesia,real estate,2141,75.0,"Jakarta, Indonesia",Indonesia,Married,4.0,,True,POINT (106.827183 -6.1753942)
Jim Thompson,1.4,United States,logistics,2141,81.0,"Hong Kong, Hong Kong",United States,Married,2.0,"Bachelor of Arts/Science, San Jose State University",True,POINT (114.1628131 22.2793278)
Jonathan Tisch,1.4,United States,"insurance, NFL team",2141,67.0,"New York, New York",United States,Married,2.0,,False,POINT (-74.00601519999999 40.7127281)
Wilma Tisch,1.4,United States,diversified,2141,93.0,"New York, New York",United States,Widowed,4.0,"Bachelor of Arts/Science, Skidmore College",False,POINT (-74.00601519999999 40.7127281)
Gisele Trajano,1.4,Brazil,retail,2141,,,Brazil,Single,,,False,POINT (-53.2 -10.3333333)
Jayshree Ullal,1.4,United States,computer networking,2141,60.0,"Saratoga, California",United States,Married,2.0,"Bachelor of Arts/Science, San Francisco State University; Master of Science, Santa Clara University",True,POINT (-122.0230146 37.2638324)
Vardis Vardinoyannis & family,1.4,Greece,oil and gas,2141,88.0,"Athens, Greece",Greece,,5.0,,True,POINT (23.7283052 37.9839412)
Sunny Varkey,1.4,India,education,2141,64.0,"Dubai, United Arab Emirates",India,Married,2.0,,False,POINT (55.1885387 25.0742823)
Wang Jianfeng & family,1.4,China,auto parts,2141,,"Ningbo, China",China,,,,True,POINT (121.6203873 29.8622194)
Wang Junjin,1.4,China,airline,2141,52.0,"Shanghai, China",China,,,,True,POINT (121.4692071 31.2322758)
Wang Mingwang,1.4,China,electronics components,2141,54.0,"Shenzhen, China",China,Married,,"EMBA, Sun Yat-sen University",True,POINT (114.0543297 22.555454)
Wang Xiaoshen,1.4,China,lithium,2141,52.0,"Urumchi, China",China,,,,True,POINT (87.6139038 43.8244074)
Werner O. Weber,1.4,Switzerland,electronic components,2141,82.0,"Zurich, Switzerland",Switzerland,,,,True,POINT (8.5410422 47.3744489)
Drorit Wertheim,1.4,Israel,Coca Cola Israel,2141,65.0,"Bnei Atarot, Israel",Israel,Divorced,2.0,,False,POINT (34.9118719 32.0235637)
"Alfred West, Jr.",1.4,United States,money management,2141,78.0,"Paoli, Pennsylvania",United States,Married,3.0,"Bachelor of Arts/Science, Georgia Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",True,POINT (-75.4838685 40.0417847)
Wu Po Sum,1.4,China,real estate,2141,70.0,"Zhengzhou, China",China,Married,,,True,POINT (113.6191483 34.7487244)
Xie Ketao,1.4,China,education,2141,57.0,"Guangzhou, China",China,,,,True,POINT (113.2592945 23.1301964)
Swift Xie,1.4,China,drones,2141,41.0,"Shenzhen, China",China,,,,True,POINT (114.0543297 22.555454)
Yu Guo,1.4,China,education,2141,59.0,"Nanchang, China",China,,,,True,POINT (115.8540042 28.687547)
"Richard Yuengling, Jr.",1.4,United States,beer,2141,78.0,"Pottsville, Pennsylvania",United States,Divorced,4.0,"Drop Out, Lycoming College",False,POINT (-76.19537010000001 40.6851324)
Clayton Zekelman,1.4,Canada,steel,2141,52.0,"Windsor, Canada",Canada,,,,False,POINT (-83.0353434 42.317099)
Zheng Hong & family,1.4,China,electronics,2141,70.0,"Beijing, China",China,,,,True,POINT (116.3912757 39.906217)
Shusheng Zheng,1.4,China,telecom,2141,55.0,"Hangzhou, China",China,,,"Doctorate, Zhejiang University",True,POINT (120.2052342 30.2489634)
Zhuo Jun,1.4,Hong Kong,printed circuit boards,2141,55.0,"Hong Kong, Hong Kong",Hong Kong,Widowed,,,False,POINT (114.1628131 22.2793278)
Inigo Zobel,1.4,Philippines,Diversified,2141,64.0,"Makati, Philippines",Philippines,,,,False,POINT (121.0211226 14.5567949)
Sanjay Agarwal,1.3,India,banking,2263,50.0,"Jaipur, India",India,Married,2.0,"Chartered Accountant, Institute of Chartered Accountants of India",True,POINT (75.81898169999999 26.9154576)
Hamad bin Jassim bin Jaber Al Thani,1.3,Qatar,investments,2263,61.0,"Doha, Qatar",Qatar,Married,,,False,POINT (51.5264162 25.2856329)
Nerio Alessandri,1.3,Italy,gym equipment,2263,60.0,"Cesena, Italy",Italy,Married,2.0,,True,POINT (12.2422442 44.136352)
Mika Anttonen,1.3,Finland,oil & gas,2263,54.0,"Helsinki, Finland",Finland,Married,,,True,POINT (24.9427473 60.1674881)
Ryuji Arai,1.3,Japan,appliances,2263,74.0,"Tokyo, Japan",Japan,,,,True,POINT (139.7594549 35.6828387)
Mehmet Aydinlar,1.3,Turkey,hospitals,2263,64.0,"Istanbul, Turkey",Turkey,Married,1.0,,True,POINT (28.9651646 41.0096334)
Achal Bakeri,1.3,India,air coolers,2263,61.0,"Ahmedabad, India",India,Married,2.0,"Master of Business Administration, Marshall School of Business",True,POINT (72.5797068 23.0216238)
Elena Baturina,1.3,Russia,"investments, real estate",2263,58.0,"London, United Kingdom",Russia,Widowed,2.0,"Bachelor of Arts/Science, State University of Management",True,POINT (-0.1276474 51.5073219)
Othman Benjelloun & family,1.3,Morocco,"banking, insurance",2263,88.0,"Casablanca, Morocco",Morocco,Married,2.0,"Diploma, Ecole Polytechnique de Lausanne",False,POINT (-7.6187768 33.5950627)
Oleg Boyko,1.3,Russia,diversified,2263,56.0,"Lipperswil, Switzerland",Russia,Single,,"Master of Science, Moscow Aviation University; Master of Business Administration, Russian National Academy of National Economy and Public Administration",True,POINT (9.056229099999999 47.6158599)
Ludwig Theodor Braun,1.3,Germany,medical technology,2263,31.0,"Melsungen, Germany",Germany,,,,False,POINT (9.5437136 51.1298048)
Ana Maria Brescia Cafferata,1.3,Peru,"mining, banking",2263,97.0,"Lima, Peru",Peru,Single,,,False,POINT (-77.0365256 -12.0621065)
Chris Britt,1.3,United States,fintech,2263,48.0,"San Francisco, California",United States,,,"Bachelor of Arts/Science, Tulane University",True,POINT (-122.419906 37.7790262)
Rafal Brzoska,1.3,Poland,parcel lockers,2263,43.0,"Warsaw, Poland",Poland,,,,True,POINT (21.0067249 52.2319581)
Chuck Bundrant,1.3,United States,fishing,2263,79.0,"Seattle, Washington",United States,Married,3.0,"Drop Out, Middle Tennessee State University",True,POINT (-122.3300624 47.6038321)
Pradip Burman,1.3,India,consumer goods,2263,78.0,"Delhi, India",India,Married,2.0,"Bachelor of Engineering, Massachusetts Institute of Technology",False,POINT (77.2219388 28.6517178)
Cao Xiaochun,1.3,China,pharmaceuticals,2263,52.0,"Hangzhou, China",China,,,,True,POINT (120.2052342 30.2489634)
Chang Pyung-soon,1.3,South Korea,educational services,2263,70.0,"Seoul, South Korea",South Korea,Married,2.0,"Bachelor of Arts/Science, Yonsei University",True,POINT (126.9782914 37.5666791)
Jeffrey Cheah,1.3,Malaysia,property,2263,76.0,"Kuala Lumpur, Malaysia",Malaysia,Married,3.0,"Bachelor of Arts/Science, Victoria University",True,POINT (101.6942371 3.1516964)
Vivien Chen,1.3,Hong Kong,real estate,2263,62.0,"Hong Kong, Hong Kong",Hong Kong,,3.0,,False,POINT (114.1628131 22.2793278)
Cheng Lili,1.3,China,poultry breeding,2263,56.0,"Changzhou, China",China,Married,,,True,POINT (119.9691539 31.8122623)
Cho Jung-ho,1.3,South Korea,finance,2263,62.0,"Seoul, South Korea",South Korea,Married,3.0,"Master of Business Administration, IMD; Bachelor of Arts/Science, University of Southern California",False,POINT (126.9782914 37.5666791)
Cho Jyh-jer,1.3,Taiwan,semiconductors,2263,,,Taiwan,Married,2.0,,True,POINT (120.9820179 23.9739374)
Chu Jian,1.3,China,Manufacturing,2263,58.0,"Hangzhou, China",China,,,,True,POINT (120.2052342 30.2489634)
Eduard Chukhlebov,1.3,Russia,metallurgy,2263,57.0,"Moscow, Russia",Russia,Married,,,True,POINT (37.6174943 55.7504461)
Turgay Ciner,1.3,Turkey,diversified,2263,65.0,"Istanbul, Turkey",Turkey,Married,1.0,"Bachelor of Arts/Science, Istanbul Academy",True,POINT (28.9651646 41.0096334)
Tim Cook,1.3,United States,Apple,2263,60.0,"Cupertino, California",United States,,,"Master of Business Administration, Fuqua School of Business",True,POINT (-122.0322895 37.3228934)
Richard Desmond,1.3,United Kingdom,publishing,2263,69.0,"London, United Kingdom",United Kingdom,Married,3.0,,True,POINT (-0.1276474 51.5073219)
Du Shuanghua,1.3,China,steel,2263,56.0,"Hengshui, China",China,,,,True,POINT (115.6677229 37.7364305)
Egon Durban,1.3,United States,private equity,2263,47.0,"Atherton, California",United States,Married,3.0,"Bachelor of Science, Georgetown University",True,POINT (-122.2058272 37.453773)
Eduardo Eurnekian,1.3,Argentina,"airports, investments",2263,88.0,"Buenos Aires, Argentina",Argentina,Single,,,True,POINT (-58.4370894 -34.6075682)
Fan Minhua,1.3,China,pharmaceuticals,2263,59.0,"Haikou, China",China,Married,,,True,POINT (110.1956502 20.0462328)
Feng Chenhui,1.3,United States,Electronics,2263,55.0,"Wuxi, China",United States,,,"Master, Tsinghua University",True,POINT (120.3074357 31.4933074)
Feng Yi,1.3,China,software,2263,47.0,"Shenzhen, China",China,,,,True,POINT (114.0543297 22.555454)
John Goff,1.3,United States,real estate,2263,66.0,"Fort Worth, Texas",United States,Married,,"Chartered Accountant, University of Texas",True,POINT (-97.33274590000001 32.753177)
Kenneth Hao,1.3,United States,private equity,2263,52.0,"Hillsborough, California",United States,,,,True,POINT (-122.3625291 37.557252)
Ayman Hariri,1.3,Lebanon,"construction, investments",2263,42.0,"Paris, France",Lebanon,Married,3.0,"Bachelor of Arts/Science, Georgetown University",False,POINT (2.3514616 48.8566969)
Michael Heine,1.3,Australia,financial services,2263,71.0,"Melbourne, Australia",Australia,,2.0,,True,POINT (144.960964 -37.8077694)
Eduardo Hochschild,1.3,Peru,mining,2263,57.0,"Lima, Peru",Peru,Married,4.0,"Bachelor of Arts/Science, Tufts University",False,POINT (-77.0365256 -12.0621065)
Huang Dawen,1.3,Hong Kong,silicon,2263,60.0,"Hong Kong, Hong Kong",Hong Kong,,,,True,POINT (114.1628131 22.2793278)
Huang Shan,1.3,China,software,2263,,,,,,,,POINT (104.999927 35.000074)
Jiang Ganjun,1.3,China,home & office products,2263,57.0,"Guangzhou, China",China,,,,True,POINT (113.2592945 23.1301964)
Conni Jonsson,1.3,Sweden,asset management,2263,60.0,"Stockholm, Sweden",Sweden,Married,,,True,POINT (18.0710935 59.3251172)
Zbigniew Juroszek & family,1.3,Poland,"real estate, gambling",2263,58.0,"Cieszyn, Poland",Poland,,,,True,POINT (18.6562313 49.7557676)
André Kasprzak,1.3,Denmark,shoes,2263,34.0,Denmark,Denmark,,,,False,POINT (10.3333283 55.670249)
Anna Kasprzak,1.3,Denmark,shoes,2263,31.0,"Haderslev, Denmark",Denmark,In Relationship,1.0,,False,POINT (9.499787100000001 55.2500715)
Peter Kelly,1.3,United Kingdom,I.T.,2263,63.0,"Bristol, United Kingdom",United Kingdom,Married,,,True,POINT (-2.5972985 51.4538022)
Kim Nam-jung,1.3,South Korea,food,2263,48.0,"Seoul, South Korea",South Korea,Married,2.0,"Bachelor of Arts/Science, Korea University; Master of Business Administration, University of Michigan, Stephen M. Ross School of Business",False,POINT (126.9782914 37.5666791)
Hemendra Kothari,1.3,India,Financial Services,2263,74.0,"Mumbai, India",India,Widowed,2.0,"Bachelor of Arts/Economics, Bombay University",False,POINT (72.8773928 19.0759899)
